[2025-06-22 00:29:29]    7 | INFO     | Starting the Pipeline...
[2025-06-22 00:29:29]   10 | INFO     | Starting data ingestion...
[2025-06-22 00:29:29]   68 | INFO     | Running the Data Ingestion Pipeline...
[2025-06-22 00:29:29]   24 | INFO     | Data Ingestion process started.
[2025-06-22 00:29:29]   25 | DEBUG    | Configuration used: DataIngestionConfig(raw_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_00-29-28\\raw_data.csv', train_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_00-29-28\\train.csv', test_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_00-29-28\\test.csv', data_link='https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv')
[2025-06-22 00:29:29]   29 | DEBUG    | Ensured directory exists for raw data path: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_00-29-28\raw_data.csv
[2025-06-22 00:29:29]   32 | INFO     | Downloading data from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv
[2025-06-22 00:29:33]   12 | INFO     | Data downloaded successfully from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv and saved to C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_00-29-28\raw_data.csv
[2025-06-22 00:29:33]   34 | INFO     | Data downloaded successfully.
[2025-06-22 00:29:33]   37 | DEBUG    | Reading the raw CSV data...
[2025-06-22 00:29:33]   39 | INFO     | Raw data read successfully with shape: (45584, 20)
[2025-06-22 00:29:33]   42 | INFO     | Splitting raw data into training and test sets...
[2025-06-22 00:29:33]   44 | INFO     | Data split: Train Shape = (36467, 20), Test Shape = (9117, 20)
[2025-06-22 00:29:33]   49 | DEBUG    | Output directories verified.
[2025-06-22 00:29:33]   53 | INFO     | Train data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_00-29-28\train.csv
[2025-06-22 00:29:33]   54 | INFO     | Test data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_00-29-28\test.csv
[2025-06-22 00:29:33]   56 | INFO     | Data Ingestion completed successfully.
[2025-06-22 00:29:33]   70 | INFO     | Data Ingestion Pipeline completed.
[2025-06-22 00:29:33]   12 | INFO     | Data ingestion completed.
[2025-06-22 00:29:33]   15 | INFO     | Starting data transformation...
[2025-06-22 00:29:33]  156 | INFO     | Starting full data transformation process...
[2025-06-22 00:29:33]  159 | DEBUG    | Train shape: (36467, 20), Test shape: (9117, 20)
[2025-06-22 00:29:33]  147 | INFO     | Creating feature engineering pipeline...
[2025-06-22 00:29:33]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 00:29:33]   61 | DEBUG    | Dropping ID column...
[2025-06-22 00:29:33]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 00:29:33]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 00:29:33]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 00:29:33]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 00:29:33]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 00:29:33]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 00:29:33]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 00:29:33]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 00:29:33]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 00:29:33]   61 | DEBUG    | Dropping ID column...
[2025-06-22 00:29:33]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 00:29:33]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 00:29:33]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 00:29:33]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 00:29:33]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 00:29:33]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 00:29:33]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 00:29:33]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 00:29:33]  104 | INFO     | Creating data transformation pipeline...
[2025-06-22 00:29:33]  113 | DEBUG    | Defined column groups. Ordinal: ['Weather_conditions', 'Road_traffic_density'], Numerical: ['Delivery_person_Age', 'Delivery_person_Ratings', 'Vehicle_condition', 'multiple_deliveries', 'distance'], Categorical: ['Type_of_order', 'Type_of_vehicle', 'Festival', 'City', 'Delivery_person_City']
[2025-06-22 00:29:33]  138 | INFO     | Data transformation pipelines created successfully.
[2025-06-22 00:29:33]  173 | DEBUG    | Fitting and transforming training data...
[2025-06-22 00:29:34]  175 | DEBUG    | Transforming testing data...
[2025-06-22 00:29:35]  190 | INFO     | Data transformation pipeline completed and artifacts saved.
[2025-06-22 00:29:35]   19 | INFO     | Data transformation completed.
[2025-06-22 00:29:35]   20 | INFO     | Preprocessor object saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\2025-06-22_00-29-28\data tranformation models\preprocessor.pkl
[2025-06-22 00:29:35]   22 | INFO     | Pipeline execution completed successfully.
