[2025-06-22 17:44:54]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 17:44:54]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 17:44:54]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 17:44:54]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 17:44:54]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 17:44:54]   51 | INFO     | Loading model...
[2025-06-22 17:44:54]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 17:44:55]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 17:44:55]   63 | INFO     | Applying feature engineering...
[2025-06-22 17:44:55]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 17:44:55]   61 | DEBUG    | Dropping ID column...
[2025-06-22 17:44:55]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 17:44:55]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 17:44:55]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 17:44:55]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 17:44:55]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 17:44:55]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 17:44:55]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 17:44:55]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 17:44:55]   69 | INFO     | Feature engineered data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\feature_eng\feature_engineered.csv
[2025-06-22 17:44:55]   74 | INFO     | Dropped target column 'Time_taken (min)' from features.
[2025-06-22 17:44:55]   79 | INFO     | Data after dropping target saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\transformed\features_dropped_target.csv
[2025-06-22 17:44:55]   82 | INFO     | Applying preprocessing transformation...
[2025-06-22 17:44:56]   84 | INFO     | Preprocessing completed. Transformed shape: (41944, 42)
[2025-06-22 17:44:56]   87 | INFO     | Generating predictions...
[2025-06-22 17:44:57]   95 | INFO     | Batch predictions saved to: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\prediction_csv\output.csv
[2025-06-22 17:44:57]   97 | INFO     | Batch prediction pipeline completed successfully.
[2025-06-22 17:46:04]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 17:46:04]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 17:46:04]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 17:46:04]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 17:46:04]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 17:46:04]   51 | INFO     | Loading model...
[2025-06-22 17:46:04]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 17:46:05]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 17:46:05]   63 | INFO     | Applying feature engineering...
[2025-06-22 17:46:05]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 17:46:05]   61 | DEBUG    | Dropping ID column...
[2025-06-22 17:46:05]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 17:46:05]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 17:46:05]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 17:46:05]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 17:46:05]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 17:46:05]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 17:46:06]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 17:46:06]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 17:46:06]   69 | INFO     | Feature engineered data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\feature_eng\feature_engineered.csv
[2025-06-22 17:46:06]   74 | INFO     | Dropped target column 'Time_taken (min)' from features.
[2025-06-22 17:46:07]   79 | INFO     | Data after dropping target saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\transformed\features_dropped_target.csv
[2025-06-22 17:46:07]   82 | INFO     | Applying preprocessing transformation...
[2025-06-22 17:46:07]   84 | INFO     | Preprocessing completed. Transformed shape: (41944, 42)
[2025-06-22 17:46:07]   87 | INFO     | Generating predictions...
[2025-06-22 17:46:09]   95 | INFO     | Batch predictions saved to: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\prediction_csv\output.csv
[2025-06-22 17:46:09]   97 | INFO     | Batch prediction pipeline completed successfully.
[2025-06-22 17:46:35]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 17:46:35]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 17:46:35]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 17:46:35]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 17:46:35]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 17:46:35]   51 | INFO     | Loading model...
[2025-06-22 17:46:35]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 17:46:36]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 17:46:36]   63 | INFO     | Applying feature engineering...
[2025-06-22 17:46:36]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 17:46:36]   61 | DEBUG    | Dropping ID column...
[2025-06-22 17:46:36]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 17:46:36]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 17:46:36]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 17:46:36]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 17:46:36]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 17:46:36]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 17:46:36]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 17:46:36]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 17:46:36]   69 | INFO     | Feature engineered data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\feature_eng\feature_engineered.csv
[2025-06-22 17:46:36]   74 | INFO     | Dropped target column 'Time_taken (min)' from features.
