[2025-06-22 17:49:42]   70 | INFO     | Creating DataFrame from input values...
[2025-06-22 17:49:42]   88 | INFO     | Input DataFrame created with shape: (1, 12)
[2025-06-22 17:49:42]   15 | INFO     | Starting prediction process...
[2025-06-22 17:49:42]   18 | INFO     | Loading preprocessor from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 17:49:42]   21 | INFO     | Loading model from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 17:49:43]   25 | INFO     | Transforming input features...
[2025-06-22 17:49:43]   28 | INFO     | Performing prediction...
[2025-06-22 17:49:43]   31 | INFO     | Prediction completed successfully.
[2025-06-22 17:50:02]   70 | INFO     | Creating DataFrame from input values...
[2025-06-22 17:50:02]   88 | INFO     | Input DataFrame created with shape: (1, 12)
[2025-06-22 17:50:02]   15 | INFO     | Starting prediction process...
[2025-06-22 17:50:02]   18 | INFO     | Loading preprocessor from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 17:50:02]   21 | INFO     | Loading model from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 17:50:03]   25 | INFO     | Transforming input features...
[2025-06-22 17:50:03]   28 | INFO     | Performing prediction...
[2025-06-22 17:50:03]   31 | INFO     | Prediction completed successfully.
