[2025-06-22 18:04:31]   37 | INFO     | Received request for single data prediction.
[2025-06-22 18:04:31]   70 | INFO     | Creating DataFrame from input values...
[2025-06-22 18:04:31]   88 | INFO     | Input DataFrame created with shape: (1, 12)
[2025-06-22 18:04:31]   15 | INFO     | Starting prediction process...
[2025-06-22 18:04:31]   18 | INFO     | Loading preprocessor from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 18:04:31]   21 | INFO     | Loading model from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 18:04:31]   25 | INFO     | Transforming input features...
[2025-06-22 18:04:31]   28 | INFO     | Performing prediction...
[2025-06-22 18:04:31]   31 | INFO     | Prediction completed successfully.
[2025-06-22 18:04:31]   58 | INFO     | Prediction result: 47.42
[2025-06-22 18:07:48]   90 | INFO     | CSV uploaded for batch prediction: raw_data.csv
[2025-06-22 18:07:48]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 18:07:48]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 18:07:48]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 18:07:48]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 18:07:48]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 18:07:48]   51 | INFO     | Loading model...
[2025-06-22 18:07:49]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 18:07:49]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 18:07:49]   63 | INFO     | Applying feature engineering...
[2025-06-22 18:07:49]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:07:49]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:07:49]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:07:49]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:07:49]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:07:49]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:07:49]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
