[2025-06-22 18:43:47]   15 | INFO     | Starting the Pipeline...
[2025-06-22 18:43:47]   17 | INFO     | Starting data ingestion...
[2025-06-22 18:43:47]   68 | INFO     | Running the Data Ingestion Pipeline...
[2025-06-22 18:43:47]   24 | INFO     | Data Ingestion process started.
[2025-06-22 18:43:47]   25 | DEBUG    | Configuration used: DataIngestionConfig(raw_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\raw_data.csv', train_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\train.csv', test_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\test.csv', data_link='https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv')
[2025-06-22 18:43:47]   29 | DEBUG    | Ensured directory exists for raw data path: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\raw_data.csv
[2025-06-22 18:43:47]   32 | INFO     | Downloading data from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv
[2025-06-22 18:43:51]   14 | INFO     | Data downloaded successfully from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv and saved to C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\raw_data.csv
[2025-06-22 18:43:51]   34 | INFO     | Data downloaded successfully.
[2025-06-22 18:43:51]   37 | DEBUG    | Reading the raw CSV data...
[2025-06-22 18:43:51]   39 | INFO     | Raw data read successfully with shape: (45584, 20)
[2025-06-22 18:43:51]   42 | INFO     | Splitting raw data into training and test sets...
[2025-06-22 18:43:51]   44 | INFO     | Data split: Train Shape = (36467, 20), Test Shape = (9117, 20)
[2025-06-22 18:43:51]   49 | DEBUG    | Output directories verified.
[2025-06-22 18:43:52]   53 | INFO     | Train data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\train.csv
[2025-06-22 18:43:52]   54 | INFO     | Test data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\test.csv
[2025-06-22 18:43:52]   56 | INFO     | Data Ingestion completed successfully.
[2025-06-22 18:43:52]   70 | INFO     | Data Ingestion Pipeline completed.
[2025-06-22 18:43:52]   19 | INFO     | Data ingestion completed.
[2025-06-22 18:43:52]   21 | INFO     | Starting data transformation...
[2025-06-22 18:43:52]  156 | INFO     | Starting full data transformation process...
[2025-06-22 18:43:52]  159 | DEBUG    | Train shape: (36467, 20), Test shape: (9117, 20)
[2025-06-22 18:43:52]  147 | INFO     | Creating feature engineering pipeline...
[2025-06-22 18:43:52]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:43:52]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:43:52]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:43:52]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:43:52]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:43:52]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:43:52]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:43:52]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 18:43:52]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:43:52]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:43:52]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:43:52]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:43:52]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:43:52]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:43:52]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:43:52]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:43:52]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:43:52]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 18:43:52]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:43:52]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:43:52]  104 | INFO     | Creating data transformation pipeline...
[2025-06-22 18:43:52]  113 | DEBUG    | Defined column groups. Ordinal: ['Weather_conditions', 'Road_traffic_density'], Numerical: ['Delivery_person_Age', 'Delivery_person_Ratings', 'Vehicle_condition', 'multiple_deliveries', 'distance'], Categorical: ['Type_of_order', 'Type_of_vehicle', 'Festival', 'City', 'Delivery_person_City']
[2025-06-22 18:43:52]  138 | INFO     | Data transformation pipelines created successfully.
[2025-06-22 18:43:52]  173 | DEBUG    | Fitting and transforming training data...
[2025-06-22 18:43:52]  175 | DEBUG    | Transforming testing data...
[2025-06-22 18:43:53]  190 | INFO     | Data transformation pipeline completed and artifacts saved.
[2025-06-22 18:43:53]   25 | INFO     | Data transformation completed.
[2025-06-22 18:43:53]   27 | INFO     | Starting model training...
[2025-06-22 18:43:53]   29 | INFO     | Starting model training process...
[2025-06-22 18:43:53]   30 | INFO     | Splitting the train and test arrays
[2025-06-22 18:43:53]   87 | INFO     | Evaluating all models using cross-validation...
[2025-06-22 18:43:53]   35 | INFO     | Starting GridSearchCV for: LinearRegression
[2025-06-22 18:43:55]   41 | INFO     | Best params for LinearRegression: {}
[2025-06-22 18:43:55]   45 | INFO     | Model LinearRegression trained with best parameters.
[2025-06-22 18:43:55]   71 | INFO     | Evaluation completed for LinearRegression with Test R2: 0.5224
[2025-06-22 18:43:55]   35 | INFO     | Starting GridSearchCV for: Lasso
[2025-06-22 18:43:58]   41 | INFO     | Best params for Lasso: {'alpha': 0.1, 'max_iter': 1000}
[2025-06-22 18:43:58]   45 | INFO     | Model Lasso trained with best parameters.
[2025-06-22 18:43:59]   71 | INFO     | Evaluation completed for Lasso with Test R2: 0.5230
[2025-06-22 18:43:59]   35 | INFO     | Starting GridSearchCV for: Ridge
[2025-06-22 18:43:59]   41 | INFO     | Best params for Ridge: {'alpha': 0.1, 'solver': 'auto'}
[2025-06-22 18:43:59]   45 | INFO     | Model Ridge trained with best parameters.
[2025-06-22 18:43:59]   71 | INFO     | Evaluation completed for Ridge with Test R2: 0.5224
[2025-06-22 18:43:59]   35 | INFO     | Starting GridSearchCV for: ElasticNet
[2025-06-22 18:44:07]   41 | INFO     | Best params for ElasticNet: {'alpha': 0.01, 'l1_ratio': 0.5, 'max_iter': 1000}
[2025-06-22 18:44:10]   45 | INFO     | Model ElasticNet trained with best parameters.
[2025-06-22 18:44:10]   71 | INFO     | Evaluation completed for ElasticNet with Test R2: 0.5225
[2025-06-22 18:44:10]   35 | INFO     | Starting GridSearchCV for: KNeighborsRegressor
[2025-06-22 18:44:14]   41 | INFO     | Best params for KNeighborsRegressor: {'n_neighbors': 7, 'weights': 'distance'}
[2025-06-22 18:44:14]   45 | INFO     | Model KNeighborsRegressor trained with best parameters.
[2025-06-22 18:44:17]   71 | INFO     | Evaluation completed for KNeighborsRegressor with Test R2: 0.4819
[2025-06-22 18:44:17]   35 | INFO     | Starting GridSearchCV for: DecisionTreeRegressor
[2025-06-22 18:44:18]   41 | INFO     | Best params for DecisionTreeRegressor: {'criterion': 'friedman_mse', 'max_depth': 10}
[2025-06-22 18:44:18]   45 | INFO     | Model DecisionTreeRegressor trained with best parameters.
[2025-06-22 18:44:18]   71 | INFO     | Evaluation completed for DecisionTreeRegressor with Test R2: 0.7706
[2025-06-22 18:44:18]   35 | INFO     | Starting GridSearchCV for: RandomForestRegressor
[2025-06-22 18:45:25]   41 | INFO     | Best params for RandomForestRegressor: {'bootstrap': True, 'max_depth': None, 'n_estimators': 100}
[2025-06-22 18:45:40]   45 | INFO     | Model RandomForestRegressor trained with best parameters.
[2025-06-22 18:45:40]   71 | INFO     | Evaluation completed for RandomForestRegressor with Test R2: 0.8064
[2025-06-22 18:45:40]   35 | INFO     | Starting GridSearchCV for: GradientBoostingRegressor
[2025-06-22 18:47:58]   41 | INFO     | Best params for GradientBoostingRegressor: {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}
[2025-06-22 18:48:07]   45 | INFO     | Model GradientBoostingRegressor trained with best parameters.
[2025-06-22 18:48:07]   71 | INFO     | Evaluation completed for GradientBoostingRegressor with Test R2: 0.8049
[2025-06-22 18:48:07]   35 | INFO     | Starting GridSearchCV for: XGBRegressor
[2025-06-22 18:50:21]   41 | INFO     | Best params for XGBRegressor: {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150, 'reg_alpha': 1, 'reg_lambda': 1}
[2025-06-22 18:50:21]   45 | INFO     | Model XGBRegressor trained with best parameters.
[2025-06-22 18:50:21]   71 | INFO     | Evaluation completed for XGBRegressor with Test R2: 0.8057
